# year	month	day	hour(utc+3)	minute	T_2	TD_2	U_2	WD_2	T_26	TD_26	U_26	WD_26	T_49	TD_49	U_49	WD_49	T_92	TD_92	U_92	WD_92	T_141	TD_141	U_141	WD_141	T_217	TD_217	U_217	WD_217	T_265	TD_265	U_265	WD_265	T_327	TD_327	U_327	WD_327
2017	12	7	0	0	-6.0	-6.7	-999.0	-999.0	-4.3	-5.9	2.7	349.0	-3.4	-6.0	-999.0	-999.0	-3.6	-6.3	3.4	9.0	-3.8	-6.5	-999.0	-999.0	-4.3	-5.7	1.5	18.0	-5.2	-6.8	-999.0	-999.0	-5.2	-7.3	3.8	40.0
2017	12	7	0	10	-6.0	-6.6	-999.0	-999.0	-4.2	-6.0	2.9	351.0	-3.3	-6.1	-999.0	-999.0	-3.5	-6.4	2.4	15.0	-3.8	-6.5	-999.0	-999.0	-4.3	-5.6	1.3	39.0	-5.3	-6.6	-999.0	-999.0	-5.1	-7.3	4.1	44.0
2017	12	7	0	20	-6.0	-6.7	-999.0	-999.0	-4.2	-5.9	2.6	345.0	-3.4	-6.0	-999.0	-999.0	-3.5	-6.5	2.2	16.0	-3.8	-6.6	-999.0	-999.0	-4.3	-5.5	0.9	44.0	-5.3	-6.6	-999.0	-999.0	-5.2	-7.3	4.0	45.0
2017	12	7	0	30	-6.0	-6.7	-999.0	-999.0	-4.3	-6.0	2.6	336.0	-3.5	-6.1	-999.0	-999.0	-3.5	-6.5	2.1	9.0	-3.8	-6.4	-999.0	-999.0	-4.3	-5.6	0.4	55.0	-5.3	-6.6	-999.0	-999.0	-5.2	-7.3	3.6	48.0
2017	12	7	0	40	-5.9	-6.6	-999.0	-999.0	-4.4	-6.0	2.4	325.0	-3.5	-6.0	-999.0	-999.0	-3.5	-6.5	1.6	358.0	-3.9	-6.5	-999.0	-999.0	-4.3	-5.5	0.5	58.0	-5.3	-6.5	-999.0	-999.0	-5.2	-7.3	3.0	53.0
2017	12	7	0	50	-5.9	-6.5	-999.0	-999.0	-4.5	-5.9	2.1	322.0	-3.6	-5.9	-999.0	-999.0	-3.5	-6.5	1.6	2.0	-3.9	-6.5	-999.0	-999.0	-4.3	-5.5	1.1	61.0	-5.3	-6.5	-999.0	-999.0	-5.2	-7.3	2.9	59.0
2017	12	7	1	0	-6.3	-7.1	-999.0	-999.0	-4.2	-5.8	2.2	332.0	-3.5	-6.0	-999.0	-999.0	-3.5	-6.5	1.1	12.0	-3.8	-6.4	-999.0	-999.0	-4.3	-5.7	1.4	73.0	-5.3	-6.8	-999.0	-999.0	-5.2	-7.4	2.9	68.0
2017	12	7	1	10	-6.3	-7.1	-999.0	-999.0	-4.2	-5.8	2.5	344.0	-3.6	-6.1	-999.0	-999.0	-3.6	-6.5	0.3	29.0	-3.8	-6.4	-999.0	-999.0	-4.4	-5.4	1.8	74.0	-5.3	-6.8	-999.0	-999.0	-5.2	-7.4	3.2	74.0
2017	12	7	1	20	-6.4	-7.2	-999.0	-999.0	-4.4	-6.0	2.2	340.0	-3.5	-6.1	-999.0	-999.0	-3.6	-6.5	0.5	18.0	-3.9	-6.4	-999.0	-999.0	-4.3	-5.7	1.6	81.0	-5.3	-6.7	-999.0	-999.0	-5.2	-7.3	2.9	76.0
2017	12	7	1	30	-6.3	-7.1	-999.0	-999.0	-4.6	-6.1	2.2	347.0	-3.5	-6.2	-999.0	-999.0	-3.5	-6.5	0.2	2.0	-3.8	-6.4	-999.0	-999.0	-4.3	-5.9	1.8	83.0	-5.3	-6.7	-999.0	-999.0	-5.1	-7.6	3.4	82.0
